year,SL50,SL95,FM,SPR,estimate_type,scenario,scenario_label,sensitivity_component,is_base,growth_id,growth_source,Linf,K,M,MK,MK_origin,maturity_id,maturity_source,maturity_sex,L50_input,L95_input,L50_origin,L95_origin,BinWidth
2016,29.8,33.89,6.67,0.52,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2017,29.71,34,5.82,0.52,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2018,29.71,34.12,5.22,0.53,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2019,29.9,34.51,4.88,0.55,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2020,29.49,33.98,4.13,0.56,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2021,29.68,34.28,3.74,0.57,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2022,30.06,34.86,3.61,0.57,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2023,29.92,34.5,3.38,0.57,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2024,29.83,34.32,3.32,0.57,smoothed,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2004,31.04,35.98,26.59,0.35832428813310185,raw,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
