ILHA;;DATA PARTIDA;DATA CHEGADA;MÊS;DIA;ANO;PORTO EMBARQUE;PORTO DESEMBARQUE;ZONA DE PESCA;ENGENHO;GRUPO;ESPÉCIE CAPTURADA;NOME CIENTÍFICO;QUANTIDADE CAPTURADA (Kg)
Santiago;Peixe Rei;1/24/2018;1/26/2018;1;26;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Diversos;Chicharrão;;360
Santiago;Porto cais;1/23/2018;1/27/2018;1;27;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Diversos;Chicharrão;;200
Santiago;Porto cais;1/23/2018;1/27/2018;1;27;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Demersais;Fanhama ;Helicolenus dactylopterus;100
Santiago;Porto cais;1/23/2018;1/27/2018;1;27;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Demersais;Moreia;MURAENIDAE;5
Santiago;Porto cais;1/23/2018;1/27/2018;1;27;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Diversos;Choba;;161
Santiago;Porto cais;1/23/2018;1/27/2018;1;27;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Demersais;Esmoregal ou Serze;Seriola sp;7
Santiago;Marina Duda;1/29/2018;1/29/2018;1;29;2018;Pedra Badejo;Cais de pesca da Praia;Achada Ponta;Rede de cerco;Tunídeos;Merma/ Panguil/ Txafarote;Euthynnus alleteratus;800
Santiago;Dona Iva;1/24/2018;1/28/2018;1;28;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Tunídeos;Albacora;Thunnus albacares;135
Santiago;Nho Santiago;1/24/2018;1/28/2018;1;28;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Tunídeos;Albacora;Thunnus albacares;380
Santiago;Praia Gonsal;2/3/2018;2/4/2018;2;4;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;1000
Santiago;Duda Marinho;2/5/2018;2/5/2018;2;5;2018;Pedra Badejo;Cais de pesca da Praia;Achada Ponta;Rede de cerco;Tunídeos;Merma/ Panguil/ Txafarote;Euthynnus alleteratus;300
Santiago;Santo António;2/5/2018;2/5/2018;2;5;2018;Pedra Badejo;Cais de pesca da Praia;Achada Ponta;Rede de cerco;Tunídeos;Merma/ Panguil/ Txafarote;Euthynnus alleteratus;1001
Santiago;Santo António;2/5/2018;2/5/2018;2;5;2018;Pedra Badejo;Cais de pesca da Praia;Achada Ponta;Rede de cerco;Pequenos pelágicos;Sicate/ Ponteiro/ Ferrão;Hemiramphus brasiliensis;150
Santiago;Duda Marinho;2/5/2018;2/6/2018;2;6;2018;Pedra Badejo;Cais de pesca da Praia;Biscainho;Rede de cerco;Tunídeos;Merma/ Panguil/ Txafarote;Euthynnus alleteratus;800
Santiago;Duda Marinho;2/5/2018;2/6/2018;2;6;2018;Pedra Badejo;Cais de pesca da Praia;Biscainho;Rede de cerco;Pequenos pelágicos;Sicate/ Ponteiro/ Ferrão;Hemiramphus brasiliensis;100
Santiago;Porto cais;2/6/2018;2/9/2018;2;9;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Tunídeos;Albacora;Thunnus albacares;60
Santiago;Porto cais;2/6/2018;2/9/2018;2;9;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Demersais;Bica;Lethrinus atlanticus;20
Santiago;Porto cais;2/6/2018;2/9/2018;2;9;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Diversos;Chicharrão;;50
Santiago;Porto cais;2/6/2018;2/9/2018;2;9;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Diversos;Maragal;;86
