DATA,ANO,MES,ZONA,L(cm),W(g),SEXO,EM,W_GON,W_FIG,OBS,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,29,340,F,5,12.13,5.44,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,29,324,M,6,20.82,2.94,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,277,M,3,16.38,3.45,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,261,F,5,9.32,2.31,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,226,F,5,6.62,3.35,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,25,183,M,4,3.64,1.72,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,210,M,3,3.23,2.85,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,223,F,5,8.04,6.79,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,281,M,4,6.81,2.59,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,221,F,5,6.31,2.6,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,227,F,5,6.76,3.9,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,231,M,3,6.14,2.88,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,24,179,M,3,2.99,1.81,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,242,F,5,8.13,3.55,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,291,F,5,7.87,2.92,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,236,M,4,6.34,3.01,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,221,M,4,12.42,1.62,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,244,F,5,6.31,2.55,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,25,200,F,3,2,3.19,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,243,F,5,8.8,3.55,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,25,206,F,5,7.39,2.53,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,277,M,3,3.46,3.07,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,230,M,6,12.32,2.36,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,264,M,3,8.76,2.57,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,220,F,6,10.44,3.82,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,28,288,M,3,20.75,2.68,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,240,F,5,8.11,3.5,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,27,277,F,5,11.81,3.88,,,,,,,,,,,,,
3/9/2004,2004,3,SANTA LUZIA,26,235,F,6,5.06,2.85,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,271,M,3,10.47,2.65,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,301,M,3,13.26,3.49,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,29,341,F,4,9.66,5.08,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,31,366,M,4,11.31,4.32,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,290,F,5,7.55,4.21,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,304,M,4,10.43,3.81,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,30,391,F,6,6.62,5.78,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,27,237,M,3,5.81,2.49,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,276,M,4,14.13,2.55,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,29,293,F,5,7.95,4.77,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,27,280,M,4,13.27,3.13,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,300,F,5,7.65,4.26,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,27,247,F,5,6.46,13.07,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,292,M,3,11.02,3.89,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,30,348,M,4,11.89,4.44,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,29,307,M,3,8.18,3.66,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,29,360,M,4,12.87,3.03,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,26,210,M,3,5.11,2.06,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,32,396,M,4,8.54,4.18,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,29,322,F,5,6.01,4.85,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,285,F,5,6.44,2.74,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,295,M,4,14.24,3,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,26,222,M,4,12.35,2.14,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,29,313,M,3,12.81,2.19,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,29,319,F,5,7.36,5.16,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,31,359,M,4,14.59,4.14,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,302,F,6,6.93,4.35,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,29,361,F,5,8.09,5.44,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,254,M,4,10.91,2.64,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,27,277,M,3,12.43,1.64,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,29,332,M,4,19.51,3.76,,,,,,,,,,,,,
3/23/2004,2004,3,BAIA DAS GATAS,28,310,F,4,7.2,5.01,,,,,,,,,,,,,
